=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:08:54 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
1.460,-36.008,0,0,1
1.465,-37.095,0,0,1
1.470,-39.159,0,0,1
1.475,-38.290,0,0,1
1.480,-37.203,0,0,1
1.485,-36.769,0,0,1
1.490,-38.181,0,0,1
1.495,-38.181,0,0,1
1.500,-38.398,0,0,1
1.505,-39.267,0,0,1
1.510,-42.309,0,0,1
1.515,-42.635,0,0,1
1.520,-43.721,0,0,1
1.525,-45.024,0,0,1
1.530,-47.523,0,0,1
1.535,-48.392,0,0,1
1.540,-48.718,0,0,1
1.545,-48.935,0,0,1
1.550,-50.021,0,0,1
1.555,-48.826,0,0,1
1.560,-49.043,0,0,1
1.565,-48.826,0,0,1
1.570,-49.587,0,0,1
1.575,-48.718,0,0,1
1.580,-47.414,0,0,1
1.585,-45.893,0,0,1
1.590,-48.066,0,0,1
1.595,-51.325,0,0,1
1.600,-54.366,0,0,1
1.605,-53.932,0,0,1
1.610,-54.692,0,0,1
1.615,-51.976,0,0,1
1.620,-50.782,0,0,1
1.625,-50.890,0,0,1
1.630,-49.913,0,0,1
1.635,-48.174,0,0,1
1.640,-45.459,0,0,1
1.645,-45.024,0,0,1
1.650,-44.590,0,0,1
1.655,-44.155,0,0,1
1.660,-44.590,0,0,1
1.665,-45.785,0,0,1
1.670,-46.111,0,0,0
1.675,-46.436,0,0,0
1.680,-46.328,0,0,0
1.685,-47.957,0,0,0
1.690,-48.500,0,0,0
1.695,-48.935,0,0,0
1.700,-49.804,0,1,0
1.705,-51.542,0,1,0
1.710,-52.628,0,1,0
1.715,-51.759,0,1,0
1.720,-52.302,0,1,0
1.725,-53.171,0,1,0
1.730,-54.149,0,1,0
1.735,-53.280,0,1,0
1.740,-53.714,0,1,0
1.745,-55.778,0,1,0
1.750,-56.865,0,1,0
1.755,-58.603,0,1,0
1.760,-60.232,0,1,0
1.765,-62.730,0,1,0
1.770,-62.730,0,1,0
1.775,-63.491,0,1,0
1.780,-63.817,0,1,0
1.785,-65.446,0,1,0
1.790,-62.622,0,1,0
1.795,-61.427,0,1,0
1.800,-60.775,0,1,0
1.805,-60.558,0,1,0
1.810,-59.146,0,1,0
1.815,-58.277,0,1,0
1.820,-57.734,0,1,0
1.825,-57.842,1,1,0
1.830,-58.820,1,1,0
1.835,-56.756,1,1,0
1.840,-56.865,1,1,0
1.845,-57.951,1,1,0
1.850,-55.670,1,1,0
1.855,-56.321,1,1,0
1.860,-57.190,1,1,0
1.865,-57.082,1,1,0
1.870,-55.996,1,1,0
1.875,-54.583,1,1,0
1.880,-54.366,1,1,0
1.885,-52.737,1,1,0
1.890,-50.347,1,1,0
1.895,-48.609,1,1,0
1.900,-47.414,1,1,0
1.905,-44.590,1,1,0
1.910,-42.091,1,1,0
1.915,-40.136,1,1,0
1.920,-37.421,1,1,0
1.925,-35.791,1,1,0
1.930,-32.858,1,1,0
1.935,-30.360,1,1,0
1.940,-29.165,1,1,0
1.945,-26.667,1,1,0
1.950,-24.494,1,1,0
1.955,-22.756,1,1,0
1.960,-22.756,1,1,0
1.965,-19.715,1,1,0
1.970,-17.868,1,1,0
1.975,-16.347,1,1,0
1.980,-15.804,1,1,0
1.985,-14.718,1,1,0
1.990,-13.306,1,1,0
1.995,-12.654,1,1,0
2.000,-13.632,1,1,0
2.005,-12.437,1,1,0
2.010,-11.025,1,1,0
2.015,-10.481,1,1,0
2.020,-10.481,1,1,0
2.025,-10.590,1,1,0
2.030,-11.350,1,1,0
2.035,-13.197,1,1,0
2.040,-15.913,1,1,0
2.045,-17.433,1,1,0
2.050,-19.171,1,0,0
2.055,-19.606,1,0,0
2.060,-22.104,1,0,0
2.065,-21.344,0,0,0
2.070,-20.692,0,0,0
2.075,-21.127,0,0,0
2.080,-20.584,0,0,0
2.085,-19.497,0,0,0
2.090,-19.606,0,0,0
2.095,-19.171,0,0,0
2.100,-19.497,0,0,0
2.105,-26.232,0,0,0
2.110,-38.072,0,0,0
2.115,-47.088,0,0,0
2.120,-51.216,0,0,0
2.125,-53.823,0,0,0
2.130,-54.909,0,0,0
2.135,-54.909,0,0,0
2.140,-55.561,0,0,0
2.145,-55.778,0,0,0
2.150,-54.583,0,0,0
2.155,-54.149,0,0,0
2.160,-51.542,0,0,0
2.165,-50.238,0,0,0
2.170,-48.935,0,0,0
2.175,-48.718,0,0,0
2.180,-47.414,0,0,0
2.185,-44.373,0,0,0
2.190,-43.069,0,0,0
2.195,-42.417,0,0,0
2.200,-42.417,0,0,0
2.205,-41.766,0,0,0
2.210,-41.874,0,0,0
2.215,-43.504,0,0,0
2.220,-43.069,0,0,0
2.225,-43.286,0,0,0
2.230,-44.264,0,0,0
2.235,-46.545,0,0,0
2.240,-47.631,0,0,0
2.245,-48.500,0,0,0
2.250,-48.609,0,0,0
2.255,-50.130,0,0,0
2.260,-50.782,0,0,0
2.265,-51.651,0,0,0
2.270,-52.194,0,0,0
2.275,-53.063,0,0,0
2.280,-50.673,0,0,0
2.285,-48.826,0,0,0
2.290,-49.152,0,0,0
2.295,-47.849,0,0,0
2.300,-46.436,0,0,0
2.305,-45.893,0,0,0
2.310,-46.002,0,0,0
2.315,-45.459,0,0,0
2.320,-43.829,0,0,0
2.325,-43.178,0,0,0
2.330,-43.938,0,0,0
2.335,-55.127,0,0,0
2.340,-62.839,0,0,0
2.345,-60.775,0,0,0
2.350,-55.018,0,0,0
2.355,-45.893,0,0,0
2.360,-42.852,0,0,0
2.365,-43.829,0,0,0
2.370,-50.564,0,0,0
2.375,-54.040,0,0,0
2.380,-51.976,0,0,0
2.385,-49.261,0,0,0
2.390,-46.002,0,0,0
2.395,-43.395,0,0,0
2.400,-41.548,0,0,0
2.405,-41.331,0,0,0
2.410,-41.983,0,0,0
2.415,-40.788,0,0,0
2.420,-40.245,0,0,0
2.425,-38.615,0,0,0
2.430,-39.484,0,0,0
2.435,-37.855,0,0,0
2.440,-36.552,0,0,0
2.445,-36.769,0,0,0
2.450,-37.855,0,0,0
2.455,-38.072,0,0,0
2.460,-37.964,0,0,0
2.465,-37.421,0,0,0
2.470,-39.050,0,0,0
2.475,-39.050,0,0,0
2.480,-37.746,0,0,0
2.485,-37.529,0,0,0
2.490,-38.290,0,0,0
2.495,-35.465,0,0,0
2.500,-33.727,0,0,0
2.505,-32.532,0,0,0
2.510,-30.686,0,0,0
2.515,-27.861,0,0,0
2.520,-24.820,0,0,0
2.525,-23.299,0,0,0
2.530,-20.258,0,0,0
2.535,-16.782,0,0,0
2.540,-14.718,0,0,0
2.545,-12.980,0,0,0
2.550,-11.785,0,0,0
2.555,-11.568,0,0,0
2.560,-12.111,0,0,0
2.565,-12.763,0,0,0
2.570,-12.437,0,0,0
2.575,-11.676,0,0,0
2.580,-12.002,0,0,0
2.585,-14.718,0,0,0
2.590,-16.999,0,0,0
2.595,-16.564,0,0,0
2.600,-16.347,0,0,0
2.605,-18.085,0,0,0
2.610,-19.715,0,0,0
2.615,-22.430,0,0,0
2.620,-25.580,0,0,0
2.625,-30.794,0,0,0
2.630,-34.705,0,0,0
2.635,-37.312,0,0,0
2.640,-37.855,0,0,0
2.645,-38.507,0,0,0
2.650,-34.922,0,0,0
2.655,-30.794,0,0,0
2.660,-26.015,0,0,1
2.665,-24.277,0,0,1
2.670,-22.865,0,0,1
2.675,-23.734,0,0,1
2.680,-24.603,0,0,1
2.685,-26.232,0,0,1
2.690,-26.123,0,0,1
2.695,-25.580,0,0,1
2.700,-25.798,0,0,1
2.705,-26.775,0,0,1
2.710,-28.187,0,0,1
2.715,-32.315,0,0,1
2.720,-36.877,0,0,1
2.725,-44.373,0,0,1
2.730,-47.849,0,0,1
2.735,-50.782,0,0,1
2.740,-55.344,0,0,1
2.745,-57.842,0,0,1
2.750,-57.082,0,0,1
2.755,-56.104,0,0,1
2.760,-55.452,0,0,1
2.765,-52.628,0,0,1
2.770,-49.261,0,0,1
2.775,-47.523,0,0,1
2.780,-46.980,0,0,1
2.785,-43.721,0,0,1
2.790,-46.762,0,0,1
2.795,-50.782,0,0,1
2.800,-55.561,0,0,1
2.805,-52.085,0,0,1
2.810,-48.935,0,0,1
2.815,-46.328,0,0,1
2.820,-47.088,0,0,1
2.825,-45.893,0,0,1
2.830,-45.893,0,0,1
2.835,-46.002,0,0,1
2.840,-47.849,0,0,1
2.845,-45.893,0,0,1
2.850,-46.219,0,0,1
2.855,-47.414,0,0,1
2.860,-49.261,0,0,1
2.865,-50.999,0,0,1
2.870,-48.826,0,0,1
2.875,-49.261,0,0,1
2.880,-49.152,0,0,1
2.885,-48.066,0,0,1
2.890,-47.197,0,0,1
2.895,-46.328,0,0,1
2.900,-45.893,0,0,1
2.905,-45.024,0,0,1
2.910,-44.481,0,0,1
2.915,-44.047,0,0,1
2.920,-44.916,0,0,1
2.925,-44.481,0,0,1
2.930,-44.155,0,0,1
2.935,-44.481,0,0,1
2.940,-45.024,0,0,1
2.945,-46.111,0,0,1
2.950,-46.436,1,0,1
2.955,-46.762,1,0,1
2.960,-48.283,1,0,1
2.965,-48.609,1,0,1
2.970,-49.478,1,0,1
2.975,-52.194,1,0,1
2.980,-51.868,1,0,1
2.985,-51.759,1,0,1
2.990,-52.628,1,0,1
2.995,-54.040,1,0,1
3.000,-55.127,1,0,1
3.005,-54.801,1,0,1
3.010,-55.670,1,0,1
3.015,-58.168,1,0,1
3.020,-60.558,1,0,1
3.025,-60.666,1,0,1
3.030,-61.970,1,0,0
3.035,-63.817,1,0,0
3.040,-65.229,1,0,0
3.045,-65.555,1,0,0
3.050,-65.989,1,0,0
3.055,-66.858,1,0,0
3.060,-67.293,1,0,0
3.065,-64.686,1,0,0
3.070,-64.468,1,0,0
3.075,-64.577,1,0,0
3.080,-62.404,1,1,0
3.085,-60.992,1,1,0
3.090,-60.232,1,1,0
3.095,-60.449,1,1,0
3.100,-58.385,1,1,0
3.105,-57.408,1,1,0
3.110,-56.865,1,1,0
3.115,-57.299,1,1,0
3.120,-55.235,1,1,0
3.125,-54.583,1,1,0
3.130,-53.823,1,1,0
3.135,-54.149,1,1,0
3.140,-53.823,1,1,0
3.145,-52.954,1,1,0
3.150,-51.868,1,1,0
3.155,-51.759,1,1,0
3.160,-50.021,1,1,0
3.165,-48.283,1,1,0
3.170,-46.762,1,1,0
3.175,-45.567,1,1,0
3.180,-42.852,1,1,0
3.185,-39.810,1,1,0
3.190,-37.964,1,1,0
3.195,-34.814,1,1,0
3.200,-32.532,1,1,0
3.205,-29.491,1,1,0
3.210,-27.101,1,1,0
3.215,-24.820,1,1,0
3.220,-22.213,1,1,0
3.225,-20.149,1,1,0
3.230,-17.977,1,1,0
3.235,-17.108,1,1,0
3.240,-14.609,1,1,0
3.245,-13.632,1,1,0
3.250,-13.523,1,1,0
3.255,-13.849,1,1,0
3.260,-12.871,1,1,0
3.265,-12.763,1,1,0
3.270,-13.088,1,1,0
3.275,-12.545,1,1,0
3.280,-12.654,1,1,0
3.285,-14.175,1,1,0
3.290,-17.868,1,0,0
3.295,-18.954,1,0,0
3.300,-20.258,0,0,0
3.305,-21.561,0,0,0
3.310,-22.647,0,0,0
3.315,-23.734,0,0,0
3.320,-23.408,0,0,0
3.325,-22.756,0,0,0
3.330,-23.299,0,0,0
3.335,-22.865,0,0,0
3.340,-20.909,0,0,0
3.345,-19.280,0,0,0
3.350,-23.191,0,0,0
3.355,-32.532,0,0,0
3.360,-44.807,0,0,0
3.365,-53.389,0,0,0
3.370,-59.689,0,0,0
3.375,-59.254,0,0,0
3.380,-58.168,0,0,0
3.385,-55.887,0,0,0
3.390,-56.973,0,0,0
3.395,-56.321,0,0,0
3.400,-54.583,0,0,0
3.405,-53.932,0,0,0
3.410,-52.411,0,0,0
3.415,-49.804,0,0,0
3.420,-47.305,0,0,0
3.425,-45.350,0,0,0
3.430,-43.829,0,0,0
3.435,-41.440,0,0,0
3.440,-39.810,0,0,0
3.445,-41.222,0,0,0
3.450,-40.136,0,0,0
3.455,-39.593,0,0,0
3.460,-39.919,0,0,0
3.465,-40.788,0,0,0
3.470,-41.222,0,0,0
3.475,-41.114,0,0,0
3.480,-41.983,0,0,0
3.485,-44.373,0,0,0
3.490,-45.350,0,0,0
3.495,-45.567,0,0,0
3.500,-45.785,0,0,0
3.505,-47.305,0,0,0
3.510,-47.088,0,0,0
3.515,-47.305,0,0,0
3.520,-47.849,0,0,0
3.525,-48.392,0,0,0
3.530,-47.197,0,0,0
3.535,-46.328,0,0,0
3.540,-46.002,0,0,0
3.545,-45.893,0,0,0
3.550,-45.785,0,0,0
3.555,-45.024,0,0,0
3.560,-44.698,0,0,0
3.565,-45.567,0,0,0
3.570,-48.174,0,0,0
3.575,-60.123,0,0,0
3.580,-64.794,0,0,0
3.585,-61.535,0,0,0
3.590,-53.063,0,0,0
3.595,-45.676,0,0,0
3.600,-45.676,0,0,0
3.605,-50.673,0,0,0
3.610,-54.366,0,0,0
3.615,-56.213,0,0,0
3.620,-53.280,0,0,0
3.625,-50.999,0,0,0
3.630,-46.654,0,0,0
3.635,-45.459,0,0,0
3.640,-45.676,0,0,0
3.645,-44.698,0,0,0
3.650,-42.635,0,0,0
3.655,-41.440,0,0,0
3.660,-41.766,0,0,0
3.665,-40.136,0,0,0
3.670,-38.181,0,0,0
3.675,-37.638,0,0,0
3.680,-37.746,0,0,0
3.685,-38.398,0,0,0
3.690,-37.638,0,0,0
3.695,-37.746,0,0,0
3.700,-38.290,0,0,0
3.705,-38.833,0,0,0
3.710,-38.507,0,0,0
3.715,-38.507,0,0,0
3.720,-39.050,0,0,0
3.725,-38.724,0,0,0
3.730,-37.095,0,0,0
3.735,-35.900,0,0,0
3.740,-34.705,0,0,0
3.745,-32.858,0,0,0
3.750,-30.469,0,0,0
3.755,-28.513,0,0,0
3.760,-26.775,0,0,0
3.765,-24.168,0,0,0
3.770,-22.104,0,0,0
3.775,-19.932,0,0,0
3.780,-20.584,0,0,0
3.785,-17.977,0,0,0
3.790,-17.325,0,0,0
3.795,-16.239,0,0,0
3.800,-17.108,0,0,0
3.805,-15.913,0,0,0
3.810,-13.849,0,0,0
3.815,-14.392,0,0,0
3.820,-15.044,0,0,0
3.825,-14.609,0,0,0
3.830,-14.392,0,0,0
3.835,-16.130,0,0,0
3.840,-17.216,0,0,0
3.845,-19.389,0,0,0
3.850,-20.475,0,0,0
3.855,-24.277,0,0,0
3.860,-25.254,0,0,0
3.865,-26.884,0,0,0
3.870,-31.663,0,0,0
3.875,-37.312,0,0,0
3.880,-39.159,0,0,0
3.885,-38.181,0,0,0
3.890,-35.031,0,0,0
3.895,-30.143,0,0,0
3.900,-24.060,0,0,1
3.905,-19.823,0,0,1
3.910,-19.389,0,0,1
3.915,-21.670,0,0,1
3.920,-23.299,0,0,1
3.925,-23.191,0,0,1
3.930,-21.670,0,0,1
3.935,-20.909,0,0,1
3.940,-20.366,0,0,1
3.945,-20.366,0,0,1
